id_municipio_endereco,qtd_vacinados,qtd_primeira_dose,qtd_segunda_dose
4205001,53417,25373,23388
4119509,273072,134590,120858
4320008,495611,229732,214900
3201506,456745,210349,189782
5214002,51251,25565,22761
3164100,19706,9191,8553
4302907,46207,21350,20146
4126306,63161,31677,28948
5106851,12273,5530,5148
3300902,56104,26324,24521
1100155,103003,50819,43032
2603900,75137,34325,31714
4115606,66935,32587,29328
3145604,179845,81401,78175
3125101,189017,89303,83970
2917904,18414,9511,7619
2917607,137572,69353,58836
1100064,54941,26695,23791
3122454,20046,9592,8690
3152006,102011,49486,45569
4302105,359086,174068,157197
2302107,144657,70452,63012
5210208,121825,56829,52453
2903706,43284,22329,18335
3100401,14763,7036,6551
3162708,69995,32896,30990
2111052,25361,12526,11060
2204808,25098,12006,10922
5007406,57773,26376,24467
4311304,116620,52629,49837
3304607,32150,15082,13541
3203346,66979,30243,28175
3202207,60067,27753,25156
4119707,14146,6593,6178
2917409,57987,26744,25443
1303502,22279,12112,9216
5203302,103010,51453,45232
4322202,68467,31492,29711
2403004,27005,12870,11841
2410405,32219,16343,13936
2703007,32284,16983,13679
4107256,32181,14762,14223
3106309,75022,36939,32476
3108800,18099,8112,7702
3142205,51259,23762,22217
3143203,86970,39758,38388
4105201,55543,27330,25301
3114204,78280,37136,34073
2109304,38873,21576,16396
2505709,37112,17295,15989
4101051,13924,6193,5932
4201257,27447,13659,12340
2900504,40238,18087,17182
2802205,14591,7431,6336
4214508,17963,8659,8054
4210050,7576,3376,3218
2413102,20601,10268,8424
2310258,69944,36594,30260
2310209,121520,56727,52156
1710508,15520,7804,6734
2911253,16915,7955,7315
5218391,12893,5835,5359
3163003,12458,6208,5434
3509809,16594,7464,7702
4118105,38748,18637,17310
4105003,25429,12139,11070
2111029,22607,11657,9378
3554755,9493,3886,4771
3104106,35455,15915,15491
4117297,10400,4915,4732
2205599,12438,6129,5510
4217154,6254,2802,2693
2405108,20764,10201,9014
3144706,60828,29523,27485
4322400,420478,196804,180339
1703800,16830,8542,7375
3203205,531833,246585,222031
3538006,675142,303027,329415
5213087,101137,48316,44557
5210109,97481,45275,41961
2505105,77072,35519,31981
3530607,1968795,856536,958447
2911600,75845,37320,33467
2402501,27797,13341,12159
3547601,105871,45235,51526
2310852,39790,22777,16080
3136207,277397,129815,122938
1705557,12035,5986,5361
4214003,53312,25906,23692
2200707,28157,14146,13279
3157203,124542,59036,55934
2928307,33809,16191,14957
4109906,34462,16102,14991
3147006,309578,147330,137345
2709301,156808,80788,67535
4204004,39388,18300,17335
3304151,73434,36253,32967
2931707,45469,21483,19250
4306957,15169,6370,6124
4310603,125444,58542,54665
3109402,73214,36457,32986
5004007,35660,16246,15311
4117909,109915,52743,47590
1501600,18690,11141,7555
4124202,12081,5360,5094
3301207,74396,34266,31085
4313805,29678,13250,12682
2803005,104930,51841,45672
2800209,59548,29062,26086
2516409,23517,11525,10002
4118709,24600,11656,11030
2918100,107116,52749,47707
3530904,17171,7909,8120
5219704,31047,14924,13353
5221502,19529,8948,8236
4305405,15448,6703,6438
4314308,15179,6657,6365
1505650,30178,15871,13301
2210979,8016,3804,3546
4205506,108831,53898,48755
4217303,37985,17435,16757
2303956,51759,26575,23167
2411205,122792,57618,53989
3102803,56071,25173,24384
2102358,26382,13141,11314
2106631,16558,8391,7205
3505401,26864,12596,12208
3506904,45225,19607,21684
3134509,16519,7825,7524
2108256,31476,16183,13242
2408607,15703,7195,6983
2406007,23189,10759,10494
3546504,23919,10319,11717
2918555,18299,9304,7818
3158300,29898,13415,12840
3165503,17381,8288,7363
2300150,28646,14971,12060
3117108,38166,17671,16682
5219258,20448,9881,8978
4320651,11539,5152,4893
3123528,23260,11507,10146
2211605,10789,4909,4720
1705102,7058,3515,3062
2201408,16388,8699,6889
4218251,15575,8082,6995
5218052,13571,6587,6230
2923050,35005,16184,15199
2919108,15267,8452,6494
4107850,19436,9160,8667
1400506,8678,4594,3534
4212239,17427,8226,7500
4204194,8128,3933,3698
5107578,7382,3546,3234
3533809,10931,4379,5301
2504108,9304,4080,3857
3136504,28856,13627,12170
3108008,69491,32215,30534
3502804,788301,338339,384282
3143401,80331,38103,36343
5205109,374582,177946,166035
4316808,512693,232537,220856
4300406,292507,132690,123872
2516201,198423,97792,85697
2500601,47987,26119,20456
3515202,61570,26023,28374
3508603,145960,73033,62255
3530706,593751,263145,288751
3533502,180630,79215,85958
3305406,55020,26877,23959
2913903,131948,64932,57367
5103437,17796,8635,7846
4200200,33891,15826,15141
2210607,106358,53560,48330
2201101,30722,15184,13500
4306601,142181,64298,60320
3522604,342585,141460,172504
3509601,330951,148380,162653
2912103,73239,35232,31678
3531506,113714,48568,57258
1100056,48285,22861,20613
3304409,77081,36243,33615
2209872,15801,7996,6931
2925105,157675,76428,68349
2930709,246110,135741,103470
2109809,63738,31520,27993
4126256,261142,132032,115111
4104600,44114,20760,19505
2914901,55406,29352,23862
4125704,100318,48135,44268
4306759,10399,4340,4278
1303304,32869,16851,14238
2205102,30189,14570,13523
1300706,51777,26503,22244
2502102,21478,9770,9055
3556909,37521,16236,18786
4100202,27457,13109,11931
2918506,48762,23957,20944
1304401,40769,19783,16910
1303007,64478,28183,24955
3532603,50839,21042,24002
3128709,175382,82856,79104
5203401,25515,12205,11426
4312302,17960,8152,7464
4319406,75398,33405,31536
4315750,18675,8282,8058
4304200,114255,52363,49026
4201802,12238,5736,5467
4200309,22442,10384,9982
4204806,153963,73149,67497
2930766,35615,18269,14952
2301257,47271,20954,19907
2400109,39434,18477,17291
2414753,13394,6479,6218
2708956,28383,14910,12389
4117602,135514,66376,60103
3111002,71762,33912,31518
3132008,12498,5980,5429
4310702,15080,6758,6439
3106606,12666,6149,5590
3161007,70799,32832,30836
