nome,id_municipio,id_municipio_6,id_municipio_tse,sigla_uf,nome_regiao
Ariquemes,1100023,110002,78,RO,Norte
Guajará-Mirim,1100106,110010,19,RO,Norte
Jaru,1100114,110011,159,RO,Norte
Machadinho D'Oeste,1100130,110013,396,RO,Norte
Porto Velho,1100205,110020,35,RO,Norte
Rio Crespo,1100262,110026,647,RO,Norte
Nova Mamoré,1100338,110033,434,RO,Norte
Alto Paraíso,1100403,110040,639,RO,Norte
Buritis,1100452,110045,779,RO,Norte
Cacaulândia,1100601,110060,620,RO,Norte
Campo Novo de Rondônia,1100700,110070,671,RO,Norte
Candeias do Jamari,1100809,110080,477,RO,Norte
Cujubim,1100940,110094,680,RO,Norte
Governador Jorge Teixeira,1101005,110100,612,RO,Norte
Itapuã do Oeste,1101104,110110,493,RO,Norte
Monte Negro,1101401,110140,663,RO,Norte
Theobroma,1101609,110160,590,RO,Norte
Vale do Anari,1101757,110175,698,RO,Norte
Acrelândia,1200013,120001,1120,AC,Norte
Assis Brasil,1200054,120005,1570,AC,Norte
Brasiléia,1200104,120010,1058,AC,Norte
Bujari,1200138,120013,1007,AC,Norte
Capixaba,1200179,120017,1015,AC,Norte
Cruzeiro do Sul,1200203,120020,1074,AC,Norte
Epitaciolândia,1200252,120025,1112,AC,Norte
Feijó,1200302,120030,1139,AC,Norte
Jordão,1200328,120032,1104,AC,Norte
Mâncio Lima,1200336,120033,1090,AC,Norte
Manoel Urbano,1200344,120034,1554,AC,Norte
Marechal Thaumaturgo,1200351,120035,1040,AC,Norte
Plácido de Castro,1200385,120038,1511,AC,Norte
Porto Walter,1200393,120039,1066,AC,Norte
Rio Branco,1200401,120040,1392,AC,Norte
Rodrigues Alves,1200427,120042,1082,AC,Norte
Santa Rosa do Purus,1200435,120043,1031,AC,Norte
Senador Guiomard,1200450,120045,1538,AC,Norte
Sena Madureira,1200500,120050,1457,AC,Norte
Tarauacá,1200609,120060,1473,AC,Norte
Xapuri,1200708,120070,1490,AC,Norte
Porto Acre,1200807,120080,1023,AC,Norte
Alvarães,1300029,130002,2895,AM,Norte
Amaturá,1300060,130006,2917,AM,Norte
Anamã,1300086,130008,2933,AM,Norte
Anori,1300102,130010,2038,AM,Norte
Apuí,1300144,130014,2003,AM,Norte
Atalaia do Norte,1300201,130020,2054,AM,Norte
Autazes,1300300,130030,2070,AM,Norte
Barcelos,1300409,130040,2097,AM,Norte
Barreirinha,1300508,130050,2119,AM,Norte
Benjamin Constant,1300607,130060,2135,AM,Norte
Beruri,1300631,130063,2950,AM,Norte
Boa Vista do Ramos,1300680,130068,2976,AM,Norte
Boca do Acre,1300706,130070,2151,AM,Norte
Borba,1300805,130080,2178,AM,Norte
